"id_store","id_date","id_product","id_client","id_sale","quantity","discount_percent","name","age","gender","city.x","segment","product_name","category","unit_price","production_cost","margin","margin_rate","date","year","month","month_name","day","weekday","store_name","city.y","surface_m2","price_before_discount","discount_amount","total_amount","total_cost","net_profit","z_score"
1,209,9,168,824,2,0,"Client 0168",18,"M","Blida","Standard","Product 009","Food",6762.86,18014.27,-11251.41,-166.37,2023-07-28,2023,7,"juillet",28,"vendredi","Store Center","Alger",500,13525.72,0,13525.72,36028.54,-22502.82,-0.729022428094359
1,270,22,128,452,1,0,"Client 0128",24,"M","Alger","Standard","Product 022","Electronics",16154.13,13103.16,3050.97,18.89,2023-09-27,2023,9,"septembre",27,"mercredi","Store Center","Alger",500,16154.13,0,16154.13,13103.16,3050.97,-0.622866106249654
1,126,10,298,1774,3,5,"Client 0298",22,"M","Annaba","Standard","Product 010","Clothing",20530.09,1418.32,19111.77,93.09,2023-05-06,2023,5,"mai",6,"samedi","Store Center","Alger",500,61590.27,3079.5135,58510.7565,4254.96,54255.7965,1.08783491641802
1,514,30,65,272,1,5,"Client 0065",65,"M","Oran","Standard","Product 030","Clothing",2144.57,17875.92,-15731.35,-733.54,2024-05-28,2024,5,"mai",28,"mardi","Store Center","Alger",500,2144.57,107.2285,2037.3415,17875.92,-15838.5785,-1.19301549063779
1,722,1,163,1332,1,10,"Client 0163",40,"F","Constantine","Economy","Product 001","Home",15928.59,16879.08,-950.490000000002,-5.97,2024-12-22,2024,12,"décembre",22,"dimanche","Store Center","Alger",500,15928.59,1592.859,14335.731,16879.08,-2543.349,-0.696307673389518
1,120,21,107,1720,4,0,"Client 0107",37,"F","Oran","Premium","Product 021","Food",8744.66,16861.06,-8116.4,-92.82,2023-04-30,2023,4,"avril",30,"dimanche","Store Center","Alger",500,34978.64,0,34978.64,67444.24,-32465.6,0.137418910977059
1,128,49,55,1298,3,15,"Client 0055",30,"F","Constantine","Economy","Product 049","Food",5361.36,10372.93,-5011.57,-93.48,2023-05-08,2023,5,"mai",8,"lundi","Store Center","Alger",500,16084.08,2412.612,13671.468,31118.79,-17447.322,-0.723135952393756
1,281,38,11,240,1,0,"Client 0011",18,"M","Blida","Premium","Product 038","Sports",10903.83,8936.47,1967.36,18.04,2023-10-08,2023,10,"octobre",8,"dimanche","Store Center","Alger",500,10903.83,0,10903.83,8936.47,1967.36,-0.834915419934069
1,47,17,215,1776,1,0,"Client 0215",50,"F","Blida","Economy","Product 017","Food",18301.26,1606.83,16694.43,91.22,2023-02-16,2023,2,"février",16,"jeudi","Store Center","Alger",500,18301.26,0,18301.26,1606.83,16694.43,-0.536147739129448
1,172,31,201,6,1,10,"Client 0201",40,"M","Constantine","Standard","Product 031","Sports",22568.65,19455.89,3112.76,13.79,2023-06-21,2023,6,"juin",21,"mercredi","Store Center","Alger",500,22568.65,2256.865,20311.785,19455.89,855.895,-0.454946579882289
1,540,22,62,728,1,20,"Client 0062",53,"M","Blida","Economy","Product 022","Electronics",16154.13,13103.16,3050.97,18.89,2024-06-23,2024,6,"juin",23,"dimanche","Store Center","Alger",500,16154.13,3230.826,12923.304,13103.16,-179.856,-0.753352828138644
1,352,32,215,1414,1,10,"Client 0215",50,"F","Blida","Economy","Product 032","Clothing",16240.74,5230.82,11009.92,67.79,2023-12-18,2023,12,"décembre",18,"lundi","Store Center","Alger",500,16240.74,1624.074,14616.666,5230.82,9385.846,-0.68496126005315
1,290,12,14,1775,1,0,"Client 0014",44,"M","Annaba","Economy","Product 012","Sports",4326.53,9151.69,-4825.16,-111.52,2023-10-17,2023,10,"octobre",17,"mardi","Store Center","Alger",500,4326.53,0,4326.53,9151.69,-4825.16,-1.10055965948162
1,693,50,247,384,1,15,"Client 0247",32,"F","Blida","Premium","Product 050","Clothing",7941.13,3505.75,4435.38,55.85,2024-11-23,2024,11,"novembre",23,"samedi","Store Center","Alger",500,7941.13,1191.1695,6749.9605,3505.75,3244.2105,-1.00268205738519
1,481,43,203,201,1,0,"Client 0203",28,"M","Blida","Economy","Product 043","Food",10967.98,5084.44,5883.54,53.64,2024-04-25,2024,4,"avril",25,"jeudi","Store Center","Alger",500,10967.98,0,10967.98,5084.44,5883.54,-0.832324527323579
1,254,11,78,588,4,0,"Client 0078",50,"M","Alger","Standard","Product 011","Sports",28466.3,10520.7,17945.6,63.04,2023-09-11,2023,9,"septembre",11,"lundi","Store Center","Alger",500,113865.2,0,113865.2,42082.8,71782.4,3.32349226048555
1,61,50,181,1079,3,10,"Client 0181",50,"M","Alger","Economy","Product 050","Clothing",7941.13,3505.75,4435.38,55.85,2023-03-02,2023,3,"mars",2,"jeudi","Store Center","Alger",500,23823.39,2382.339,21441.051,10517.25,10923.801,-0.409337742241174
1,329,37,102,853,3,5,"Client 0102",47,"M","Annaba","Economy","Product 037","Sports",27782.6,2754.9,25027.7,90.08,2023-11-25,2023,11,"novembre",25,"samedi","Store Center","Alger",500,83347.8,4167.39,79180.41,8264.7,70915.71,1.92264165865555
1,141,17,227,1408,3,15,"Client 0227",39,"F","Alger","Premium","Product 017","Food",18301.26,1606.83,16694.43,91.22,2023-05-21,2023,5,"mai",21,"dimanche","Store Center","Alger",500,54903.78,8235.567,46668.213,4820.49,41847.723,0.609537824546545
1,307,30,103,1931,1,0,"Client 0103",56,"F","Constantine","Standard","Product 030","Clothing",2144.57,17875.92,-15731.35,-733.54,2023-11-03,2023,11,"novembre",3,"vendredi","Store Center","Alger",500,2144.57,0,2144.57,17875.92,-15731.35,-1.18868474195059
1,80,27,56,1579,1,10,"Client 0056",18,"M","Annaba","Standard","Product 027","Sports",11158.27,8427.43,2730.84,24.47,2023-03-21,2023,3,"mars",21,"mardi","Store Center","Alger",500,11158.27,1115.827,10042.443,8427.43,1615.013,-0.869705150457406
1,364,13,155,1247,1,10,"Client 0155",28,"M","Alger","Economy","Product 013","Food",29459.03,13790.59,15668.44,53.19,2023-12-30,2023,12,"décembre",30,"samedi","Store Center","Alger",500,29459.03,2945.903,26513.127,13790.59,12722.537,-0.204486546165675
1,623,10,14,333,2,15,"Client 0014",44,"M","Annaba","Economy","Product 010","Clothing",20530.09,1418.32,19111.77,93.09,2024-09-14,2024,9,"septembre",14,"samedi","Store Center","Alger",500,41060.18,6159.027,34901.153,2836.64,32064.513,0.13428936310942
1,483,37,153,48,2,15,"Client 0153",75,"M","Blida","Standard","Product 037","Sports",27782.6,2754.9,25027.7,90.08,2024-04-27,2024,4,"avril",27,"samedi","Store Center","Alger",500,55565.2,8334.78,47230.42,5509.8,41720.62,0.632244261987943
1,334,13,188,447,3,0,"Client 0188",35,"F","Blida","Economy","Product 013","Food",29459.03,13790.59,15668.44,53.19,2023-11-30,2023,11,"novembre",30,"jeudi","Store Center","Alger",500,88377.09,0,88377.09,41371.77,47005.32,2.29407751606849
1,38,4,11,1394,2,10,"Client 0011",18,"M","Blida","Premium","Product 004","Electronics",10834.96,7384.63,3450.33,31.84,2023-02-07,2023,2,"février",7,"mardi","Store Center","Alger",500,21669.92,2166.992,19502.928,14769.26,4733.668,-0.487614726791767
1,412,6,185,1007,1,5,"Client 0185",34,"F","Constantine","Standard","Product 006","Food",15410.74,17923.88,-2513.14,-16.31,2024-02-16,2024,2,"février",16,"vendredi","Store Center","Alger",500,15410.74,770.537,14640.203,17923.88,-3283.677,-0.684010646812728
1,3,45,253,769,1,20,"Client 0253",55,"M","Alger","Standard","Product 045","Sports",27863.09,14779.69,13083.4,46.96,2023-01-03,2023,1,"janvier",3,"mardi","Store Center","Alger",500,27863.09,5572.618,22290.472,14779.69,7510.782,-0.375031294975469
1,12,6,108,1274,1,10,"Client 0108",57,"M","Blida","Premium","Product 006","Food",15410.74,17923.88,-2513.14,-16.31,2023-01-12,2023,1,"janvier",12,"jeudi","Store Center","Alger",500,15410.74,1541.074,13869.666,17923.88,-4054.214,-0.7151311241223
1,20,45,274,95,2,0,"Client 0274",28,"M","Annaba","Standard","Product 045","Sports",27863.09,14779.69,13083.4,46.96,2023-01-20,2023,1,"janvier",20,"vendredi","Store Center","Alger",500,55726.18,0,55726.18,29559.38,26166.8,0.975371336103233
1,296,16,191,936,4,5,"Client 0191",31,"M","Annaba","Economy","Product 016","Food",29430.2,7805.4,21624.8,73.48,2023-10-23,2023,10,"octobre",23,"lundi","Store Center","Alger",500,117720.8,5886.04,111834.76,31221.6,80613.16,3.24148677347007
1,297,25,165,1988,3,0,"Client 0165",34,"M","Blida","Economy","Product 025","Home",1773.5,5451.52,-3678.02,-207.39,2023-10-24,2023,10,"octobre",24,"mardi","Store Center","Alger",500,5320.5,0,5320.5,16354.56,-11034.06,-1.06041516177237
1,254,8,257,525,1,0,"Client 0257",42,"M","Blida","Economy","Product 008","Clothing",1306.33,9455.26,-8148.93,-623.8,2023-09-11,2023,9,"septembre",11,"lundi","Store Center","Alger",500,1306.33,0,1306.33,9455.26,-8148.93,-1.22253961056816
1,166,21,158,894,2,0,"Client 0158",35,"M","Annaba","Standard","Product 021","Food",8744.66,16861.06,-8116.4,-92.82,2023-06-15,2023,6,"juin",15,"jeudi","Store Center","Alger",500,17489.32,0,17489.32,33722.12,-16232.8,-0.568940402358773
1,254,24,235,2000,3,0,"Client 0235",40,"M","Annaba","Premium","Product 024","Food",13053.63,12242.76,810.869999999999,6.21,2023-09-11,2023,9,"septembre",11,"lundi","Store Center","Alger",500,39160.89,0,39160.89,36728.28,2432.61,0.306331781128602
1,129,34,67,1260,2,5,"Client 0067",18,"F","Constantine","Standard","Product 034","Clothing",19356.27,13165.48,6190.79,31.98,2023-05-09,2023,5,"mai",9,"mardi","Store Center","Alger",500,38712.54,1935.627,36776.913,26330.96,10445.953,0.210047628472671
1,439,1,43,84,3,0,"Client 0043",47,"M","Blida","Standard","Product 001","Home",15928.59,16879.08,-950.490000000002,-5.97,2024-03-14,2024,3,"mars",14,"jeudi","Store Center","Alger",500,47785.77,0,47785.77,50637.24,-2851.47,0.654673758655684
1,344,26,33,1550,3,5,"Client 0033",32,"M","Oran","Standard","Product 026","Food",19716.38,6908.93,12807.45,64.96,2023-12-10,2023,12,"décembre",10,"dimanche","Store Center","Alger",500,59149.14,2957.457,56191.683,20726.79,35464.893,0.994172088758898
1,21,2,281,1317,1,5,"Client 0281",50,"F","Constantine","Economy","Product 002","Sports",9537.28,6046.58,3490.7,36.6,2023-01-21,2023,1,"janvier",21,"samedi","Store Center","Alger",500,9537.28,476.864,9060.416,6046.58,3013.836,-0.909367293833892
1,315,49,95,1706,2,5,"Client 0095",48,"M","Alger","Economy","Product 049","Food",5361.36,10372.93,-5011.57,-93.48,2023-11-11,2023,11,"novembre",11,"samedi","Store Center","Alger",500,10722.72,536.136,10186.584,20745.86,-10559.276,-0.863883578333188
1,621,20,50,1603,2,5,"Client 0050",69,"M","Annaba","Standard","Product 020","Food",19996.1,1471.53,18524.57,92.64,2024-09-12,2024,9,"septembre",12,"jeudi","Store Center","Alger",500,39992.2,1999.61,37992.59,2943.06,35049.53,0.259146436828752
1,467,25,181,37,3,0,"Client 0181",50,"M","Alger","Economy","Product 025","Home",1773.5,5451.52,-3678.02,-207.39,2024-04-11,2024,4,"avril",11,"jeudi","Store Center","Alger",500,5320.5,0,5320.5,16354.56,-11034.06,-1.06041516177237
1,370,19,79,1325,2,0,"Client 0079",24,"F","Annaba","Standard","Product 019","Clothing",15602.58,11886.55,3716.03,23.82,2024-01-05,2024,1,"janvier",5,"vendredi","Store Center","Alger",500,31205.16,0,31205.16,23773.1,7432.06,-0.0149845410546092
1,450,14,164,1121,3,5,"Client 0164",63,"M","Oran","Premium","Product 014","Home",28994.61,17625.51,11369.1,39.21,2024-03-25,2024,3,"mars",25,"lundi","Store Center","Alger",500,86983.83,4349.1915,82634.6385,52876.53,29758.1085,2.06215116910907
1,47,43,250,1816,2,5,"Client 0250",42,"M","Blida","Premium","Product 043","Food",10967.98,5084.44,5883.54,53.64,2023-02-16,2023,2,"février",16,"jeudi","Store Center","Alger",500,21935.96,1096.798,20839.162,10168.88,10670.282,-0.433646857789657
1,499,45,174,1909,2,10,"Client 0174",43,"M","Annaba","Standard","Product 045","Sports",27863.09,14779.69,13083.4,46.96,2024-05-13,2024,5,"mai",13,"lundi","Store Center","Alger",500,55726.18,5572.618,50153.562,29559.38,20594.182,0.750304230923449
1,189,30,22,1361,3,0,"Client 0022",45,"M","Oran","Standard","Product 030","Clothing",2144.57,17875.92,-15731.35,-733.54,2023-07-08,2023,7,"juillet",8,"samedi","Store Center","Alger",500,6433.71,0,6433.71,53627.76,-47194.05,-1.01545479446257
1,192,44,54,627,3,0,"Client 0054",25,"M","Blida","Standard","Product 044","Clothing",29953.88,9571.22,20382.66,68.05,2023-07-11,2023,7,"juillet",11,"mardi","Store Center","Alger",500,89861.64,0,89861.64,28713.66,61147.98,2.3540355772517
1,15,15,152,505,2,20,"Client 0152",39,"M","Alger","Standard","Product 015","Food",8812.57,5897.24,2915.33,33.08,2023-01-15,2023,1,"janvier",15,"dimanche","Store Center","Alger",500,17625.14,3525.028,14100.112,11794.48,2305.632,-0.705823862415099
